r,npoints,build_time_sec,mean_abs_error,max_abs_error,rank
2,4,0.0266637500000000,0.0000000000000000,0.0000000000000000,2
3,8,0.0863451250000000,0.0000000000000000,0.0000000000000000,2
4,16,0.1775507080000000,0.0000000000000002,0.0000000000000004,2
5,32,0.2953174170000000,0.0000000000000002,0.0000000000000006,2
6,64,0.3108111250000000,0.0000000000000001,0.0000000000000002,2
7,128,0.4109987910000000,0.0000000000000001,0.0000000000000003,2
8,256,0.4961761250000000,0.0000000000000001,0.0000000000000006,2
9,512,0.6925922920000001,0.0000000000000005,0.0000000000000011,2
10,1024,1.0147830419999999,0.0000000000000004,0.0000000000000010,2
11,2048,0.8948960419999999,0.0000000000000005,0.0000000000000014,2
12,4096,1.0160047500000000,0.0000000000000001,0.0000000000000007,2
13,8192,1.0244346670000000,0.0000000000000006,0.0000000000000018,2
14,16384,1.2010392089999999,0.0000000000000005,0.0000000000000016,2
15,32768,1.2810068750000001,0.0000000000000002,0.0000000000000010,2
